ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
20,OAXACA,299,SAN PEDRO APOSTOL,2,3,25,47,5,99,23,8,234,12,2,7,3,2,0,0,0,0,0,0,,,,0,21,488,1302
20,OAXACA,300,SAN PEDRO ATOYAC,4,7,37,154,381,333,555,206,474,160,48,19,7,2,2,3,0,2,3,4,,,,4,214,2608,3204
20,OAXACA,301,SAN PEDRO CAJONOS,1,2,2,40,3,4,6,7,278,4,3,3,0,1,0,0,0,0,1,1,,,,0,16,369,836
20,OAXACA,302,SAN PEDRO COXCALTEPEC CANTAROS,2,2,7,34,7,7,8,3,175,8,3,1,0,0,0,1,0,0,0,0,,,,0,7,261,604
20,OAXACA,303,SAN PEDRO COMITANCILLO,2,6,16,211,47,173,90,23,1478,57,15,363,7,1,1,0,1,2,0,2,,,,2,187,2676,3699
20,OAXACA,304,SAN PEDRO EL ALTO,2,6,165,251,26,44,83,27,250,29,29,6,7,6,1,2,0,0,0,0,,,,0,85,1011,2707
20,OAXACA,305,SAN PEDRO HUAMELULA,7,15,26,741,30,67,142,76,3601,371,262,96,14,5,1,1,3,1,4,6,,,,0,195,5642,7546
20,OAXACA,306,SAN PEDRO HUILOTEPEC,1,4,22,337,4,14,312,120,732,164,7,10,3,1,0,0,0,0,0,5,,,,0,42,1773,2416
20,OAXACA,307,SAN PEDRO IXCATLAN,9,17,142,2114,99,60,37,80,3231,77,185,33,46,6,2,0,0,0,0,0,,,,1,259,6372,7808
20,OAXACA,308,SAN PEDRO IXTLAHUACA,2,13,75,645,34,79,119,80,1281,47,22,48,11,6,0,2,10,4,1,16,,,,1,126,2607,8302
20,OAXACA,309,SAN PEDRO JALTEPETONGO,1,1,2,19,2,1,5,1,138,8,6,0,1,0,0,0,0,0,0,0,,,,0,3,186,366
20,OAXACA,310,SAN PEDRO JICAYAN,7,15,51,993,1095,109,68,72,1745,94,861,140,5,0,1,5,0,3,3,0,,,,1,489,5735,7889
20,OAXACA,311,SAN PEDRO JOCOTIPAC,1,1,1,99,5,4,3,1,142,16,0,2,1,1,0,0,0,0,0,0,,,,0,11,286,635
20,OAXACA,312,SAN PEDRO JUCHATENGO,1,2,20,336,8,5,8,20,163,12,2,45,7,4,0,2,0,0,0,1,,,,0,32,665,1287
20,OAXACA,313,SAN PEDRO MARTIR,1,2,65,96,8,60,20,7,160,7,3,10,4,1,0,0,1,0,1,0,,,,0,18,461,1449
20,OAXACA,314,SAN PEDRO MARTIR QUIECHAPA,1,1,11,22,6,9,46,2,153,2,2,4,1,0,0,0,0,1,0,2,,,,0,7,268,527
20,OAXACA,315,SAN PEDRO MARTIR YUCUXACO,2,2,11,43,8,4,27,1,203,12,3,2,2,0,0,0,0,0,0,0,,,,0,19,335,1058
20,OAXACA,316,SAN PEDRO MIXTEPEC,13,61,403,6610,150,228,137,454,10340,192,477,173,79,33,5,42,14,1,4,35,,,,6,843,20226,37599
20,OAXACA,317,SAN PEDRO MIXTEPEC,1,1,2,35,3,4,6,4,225,8,9,6,0,1,0,0,0,0,1,1,,,,0,12,317,743
20,OAXACA,318,SAN PEDRO MOLINOS,1,1,1,25,10,43,83,4,87,12,3,4,1,0,0,0,0,0,0,0,,,,0,13,286,536
20,OAXACA,319,SAN PEDRO NOPALA,1,2,5,28,5,2,6,5,209,7,13,6,2,0,0,0,1,0,0,3,,,,0,9,301,535
20,OAXACA,320,SAN PEDRO OCOPETATILLO,1,1,7,213,2,6,8,2,48,7,2,2,2,2,1,1,0,0,0,0,,,,0,19,322,556
20,OAXACA,321,SAN PEDRO OCOTEPEC,1,3,13,52,5,12,42,4,117,16,4,0,1,0,0,0,1,0,0,4,,,,0,7,278,1392
20,OAXACA,322,SAN PEDRO POCHUTLA,18,61,677,2055,1694,2994,997,1168,8738,429,317,881,212,20,11,19,0,0,0,0,,,,8,1263,21483,35235
20,OAXACA,323,SAN PEDRO QUIATONI,6,16,106,1053,80,64,547,60,1553,89,48,29,4,3,1,4,0,1,1,8,,,,0,135,3786,7970
20,OAXACA,324,SAN PEDRO SOCHIAPAM,3,7,23,646,25,24,30,19,560,37,18,15,5,2,1,2,0,0,0,0,,,,0,72,1479,3217
20,OAXACA,325,SAN PEDRO TAPANATEPEC,9,21,902,525,46,59,71,39,4582,42,94,27,8,10,1,0,0,0,4,4,,,,0,175,6589,10493
20,OAXACA,326,SAN PEDRO TAVICHE,1,2,21,192,10,8,62,1,89,3,2,1,0,0,0,0,0,0,0,0,,,,0,18,407,910
20,OAXACA,327,SAN PEDRO TEOZACOALCO,1,2,14,45,7,9,10,10,336,16,5,6,0,0,0,1,0,0,1,1,,,,0,31,492,954
20,OAXACA,328,SAN PEDRO TEUTILA,3,7,53,485,29,12,44,15,991,36,38,27,4,9,0,1,0,0,0,0,,,,0,52,1796,3024
20,OAXACA,329,SAN PEDRO TIDAA,2,2,9,31,5,8,48,0,147,8,9,2,0,0,0,0,0,0,0,4,,,,0,13,284,657
20,OAXACA,330,SAN PEDRO TOPILTEPEC,1,2,2,24,2,7,12,1,133,2,3,3,0,0,0,0,0,0,0,1,,,,0,13,203,294
20,OAXACA,331,SAN PEDRO TOTOLAPAM,3,4,57,93,14,10,102,8,470,9,8,5,0,1,1,0,1,0,0,2,,,,0,19,800,2440
20,OAXACA,332,VILLA DE TUTUTEPEC,21,61,194,6866,323,252,1444,407,9212,184,222,369,166,24,0,12,5,2,5,18,,,,1,819,20525,35196
20,OAXACA,333,SAN PEDRO Y SAN PABLO AYUTLA,4,9,50,194,25,54,180,16,669,41,48,19,7,1,1,0,4,1,1,11,,,,0,70,1392,3913
20,OAXACA,334,SAN PEDRO Y SAN PABLO TEPOSCOLULA,5,9,27,460,25,31,214,152,1239,27,12,117,7,1,0,1,1,1,0,1,,,,11,126,2453,3373
20,OAXACA,335,SAN PEDRO Y SAN PABLO TEQUIXTEPEC,7,7,40,125,20,22,47,15,366,16,10,3,0,0,0,0,1,0,0,6,,,,0,14,685,1443
20,OAXACA,336,SAN PEDRO YANERI,1,2,7,40,21,7,4,3,175,8,7,2,0,0,0,0,1,0,0,0,,,,0,9,284,674
20,OAXACA,337,SAN PEDRO YOLOX,2,5,29,147,21,20,30,11,684,24,13,8,0,1,0,0,1,0,0,1,,,,0,34,1024,1605
20,OAXACA,338,SAN PEDRO YUCUNAMA,1,1,3,40,1,2,0,1,53,2,0,14,0,0,0,0,0,0,0,0,,,,0,0,116,194
20,OAXACA,339,SAN RAYMUNDO JALPAN,1,3,24,163,19,25,48,27,462,17,5,27,3,0,1,0,0,1,3,3,,,,0,39,867,1982
20,OAXACA,340,SAN SEBASTIAN ABASOLO,1,3,37,143,14,9,54,6,253,13,7,7,1,0,0,0,0,0,2,6,,,,0,12,564,1523
20,OAXACA,341,SAN SEBASTIAN COATLAN,2,4,42,422,2,19,11,8,267,15,6,6,7,4,0,0,0,0,0,0,,,,0,30,839,1986
20,OAXACA,342,SAN SEBASTIAN IXCAPA,4,7,8,979,60,11,53,157,1022,16,119,9,19,0,3,3,1,0,0,1,,,,0,50,2511,3187
20,OAXACA,343,SAN SEBASTIAN NICANANDUTA,1,2,4,17,6,3,9,1,460,6,1,3,3,1,0,1,0,0,0,0,,,,0,10,525,1271
20,OAXACA,344,SAN SEBASTIAN RIO HONDO,3,5,26,705,171,44,15,19,337,23,16,18,3,5,0,0,0,0,0,0,,,,0,77,1459,2872
20,OAXACA,345,SAN SEBASTIAN TECOMAXTLAHUACA,9,12,62,249,75,69,96,69,1472,56,92,82,3,4,0,1,0,0,0,0,,,,1,153,2484,6119
20,OAXACA,346,SAN SEBASTIAN TEITIPAC,1,4,18,88,4,9,91,7,321,15,6,5,5,2,1,2,2,1,1,3,,,,0,25,606,1722
20,OAXACA,347,SAN SEBASTIAN TUTLA,7,21,469,1036,57,113,156,252,2997,123,49,219,67,17,1,1,23,1,8,43,,,,3,210,5845,12840
20,OAXACA,348,SAN SIMON ALMOLONGAS,2,4,63,118,9,30,15,13,377,25,16,4,1,4,0,0,0,0,0,0,,,,0,47,722,2269
20,OAXACA,349,SAN SIMON ZAHUATLAN,1,4,7,443,90,18,34,13,238,17,16,5,2,5,0,3,0,0,0,0,,,,0,88,979,2699
20,OAXACA,350,SAN VICENTE COATLAN,2,5,206,105,29,45,31,6,117,10,4,3,1,0,2,1,0,0,0,0,,,,0,63,623,2998
20,OAXACA,351,SAN VICENTE LACHIXIO,1,4,21,91,13,415,76,9,209,14,3,7,0,0,1,1,0,0,0,0,,,,0,34,894,2145
20,OAXACA,352,SAN VICENTE NUÑU,1,1,16,72,2,3,0,1,95,3,1,4,0,0,0,0,0,0,0,0,,,,0,5,202,377
20,OAXACA,353,SANTA ANA,1,3,19,71,10,31,23,11,286,19,13,24,0,1,0,1,0,0,0,0,,,,0,54,563,1680
20,OAXACA,354,SANTA ANA ATEIXTLAHUACA,1,1,3,78,4,0,5,3,59,5,2,5,0,3,0,0,0,0,0,0,,,,0,13,180,321
20,OAXACA,355,SANTA ANA CUAUHTEMOC,1,1,1,96,6,4,4,7,163,7,2,3,1,0,1,0,0,0,0,0,,,,0,18,313,495
20,OAXACA,356,SANTA ANA DEL VALLE,2,3,8,73,6,6,63,10,323,16,6,7,1,0,0,0,0,0,0,9,,,,0,15,543,1740
20,OAXACA,357,SANTA ANA TAVELA,1,1,3,139,4,22,22,6,121,6,2,0,0,2,0,2,0,16,2,0,,,,0,20,367,655
20,OAXACA,358,SANTA ANA TLAPACOYAN,2,3,97,115,13,104,23,11,383,14,9,7,3,4,0,2,0,0,0,0,,,,0,41,826,1681
20,OAXACA,359,SANTA ANA YARENI,1,1,5,7,9,9,14,2,180,6,7,3,0,0,0,0,0,0,0,0,,,,0,1,243,639
20,OAXACA,360,SANTA ANA ZEGACHE,2,5,278,109,29,651,382,24,413,27,14,15,1,0,0,1,1,4,1,1,,,,0,152,2103,3030
20,OAXACA,361,SANTA CATALINA QUIERI,1,1,8,24,2,4,8,6,206,22,6,14,0,0,0,0,0,0,0,0,,,,0,25,325,668
20,OAXACA,362,SANTA CATARINA CUIXTLA,1,2,21,69,5,18,16,9,267,15,11,15,0,0,1,0,0,0,0,0,,,,0,22,469,1102
20,OAXACA,363,SANTA CATARINA IXTEPEJI,4,6,12,240,5,11,24,9,399,5,8,11,5,1,0,0,0,4,1,2,,,,0,18,755,2098
20,OAXACA,364,SANTA CATARINA JUQUILA,7,25,634,2737,564,53,1014,99,3090,111,128,220,16,17,53,15,2,2,2,14,,,,1,329,9101,12579
20,OAXACA,365,SANTA CATARINA LACHATAO,3,3,14,76,16,13,23,7,365,14,3,4,1,1,0,0,2,0,2,3,,,,0,24,568,994
20,OAXACA,366,SANTA CATARINA LOXICHA,3,5,16,198,14,13,27,14,396,19,18,19,3,1,0,0,0,0,0,0,,,,0,33,771,2442
20,OAXACA,367,SANTA CATARINA MECHOACAN,2,5,16,580,132,16,39,12,509,17,70,10,6,3,0,6,0,0,0,2,,,,0,41,1459,3084
20,OAXACA,368,SANTA CATARINA MINAS,2,3,39,115,28,78,96,8,257,19,4,16,2,2,1,2,1,10,1,0,,,,0,36,715,1517
20,OAXACA,369,SANTA CATARINA QUIANE,1,3,25,76,7,121,67,12,354,10,14,12,2,2,0,0,2,1,1,9,,,,0,24,739,1620
20,OAXACA,370,SANTA CATARINA QUIOQUITANI,1,1,2,13,1,0,7,6,176,7,0,5,1,0,0,0,0,0,0,0,,,,0,5,223,351
20,OAXACA,371,SANTA CATARINA TAYATA,1,2,5,57,9,4,17,4,173,4,1,1,1,0,0,1,3,1,1,4,,,,0,11,297,552
20,OAXACA,372,SANTA CATARINA TICUA,2,2,5,25,17,12,87,9,239,22,5,11,0,0,0,0,0,0,0,0,,,,0,27,459,754
20,OAXACA,373,SANTA CATARINA YOSONOTU,3,4,8,27,28,12,104,10,251,10,18,6,0,1,0,1,0,0,0,0,,,,0,35,511,1087
20,OAXACA,374,SANTA CATARINA ZAPOQUILA,1,1,14,26,4,9,2,1,85,3,2,0,1,0,0,0,0,0,0,0,,,,0,2,149,353
20,OAXACA,375,SANTA CRUZ ACATEPEC,1,2,60,282,3,4,14,7,239,25,9,6,2,2,0,0,0,0,0,0,,,,0,32,685,1012
20,OAXACA,376,SANTA CRUZ AMILPAS,4,15,341,650,44,135,272,272,3025,134,541,345,23,7,0,2,5,0,1,9,,,,6,226,6038,9673
20,OAXACA,377,SANTA CRUZ DE BRAVO,1,1,0,76,4,5,1,0,42,3,2,4,0,0,0,0,0,0,0,0,,,,0,3,140,304
20,OAXACA,378,SANTA CRUZ ITUNDUJIA,8,16,61,1658,110,38,1238,37,2100,51,46,33,27,7,1,6,0,0,0,0,,,,0,276,5689,7983
20,OAXACA,379,SANTA CRUZ MIXTEPEC,3,5,71,170,20,124,55,12,732,30,19,10,5,6,0,0,0,0,0,0,,,,0,69,1323,2734
20,OAXACA,380,SANTA CRUZ NUNDACO,1,4,12,138,29,17,157,124,345,19,8,14,2,0,1,0,0,0,0,0,,,,0,79,945,2252
20,OAXACA,381,SANTA CRUZ PAPALUTLA,1,3,11,110,17,7,59,7,276,23,6,6,1,1,0,0,0,1,0,7,,,,0,26,558,1610
20,OAXACA,382,SANTA CRUZ TACACHE DE MINA,3,5,29,57,83,128,11,316,476,166,6,95,2,0,0,0,0,0,0,0,,,,0,38,1407,2127
20,OAXACA,383,SANTA CRUZ TACAHUA,1,2,5,7,5,2,56,3,110,46,4,14,0,0,0,0,0,0,0,0,,,,0,10,262,863
20,OAXACA,384,SANTA CRUZ TAYATA,1,2,3,38,9,3,13,2,162,2,3,1,0,0,0,0,0,0,0,0,,,,0,9,245,452
20,OAXACA,385,SANTA CRUZ XITLA,3,6,26,502,17,35,47,22,384,19,20,17,3,2,0,0,0,0,0,0,,,,0,102,1196,3582
20,OAXACA,386,SANTA CRUZ XOXOCOTLAN,20,109,1633,6038,950,934,2138,856,18865,1092,475,7284,194,27,9,12,48,5,10,100,,,,13,1442,42125,70855
20,OAXACA,387,SANTA CRUZ ZENZONTEPEC,8,24,104,1542,215,118,304,57,1355,374,32,42,27,10,5,12,4,4,2,8,,,,0,339,4554,12286
20,OAXACA,388,SANTA GERTRUDIS,3,5,43,520,19,48,264,14,785,16,27,19,7,1,0,6,0,0,1,2,,,,0,51,1823,2484
20,OAXACA,389,SANTA INES DEL MONTE,1,4,78,181,19,168,32,11,276,17,4,11,7,4,0,2,2,1,1,1,,,,1,23,839,1824
20,OAXACA,390,SANTA INES YATZECHE,1,2,20,97,2,15,15,5,49,9,3,0,1,0,1,0,0,0,0,0,,,,0,9,226,815
20,OAXACA,391,SANTA INES DE ZARAGOZA,3,4,17,201,20,13,8,5,211,13,1,4,2,2,0,0,2,0,0,0,,,,0,13,512,1123
20,OAXACA,392,SANTA LUCIA DEL CAMINO,23,66,1404,3722,198,257,2960,1998,8917,1159,283,1514,79,19,5,6,35,7,3,85,,,,6,662,23319,40249
20,OAXACA,393,SANTA LUCIA MIAHUATLAN,2,6,32,700,8,46,35,13,142,9,23,21,3,1,0,2,0,0,0,0,,,,15,137,1187,2204
20,OAXACA,394,SANTA LUCIA MONTEVERDE,5,8,34,375,111,47,401,16,533,26,25,2,75,4,5,9,0,0,0,0,,,,0,126,1789,4396
20,OAXACA,395,SANTA LUCIA OCOTLAN,1,4,59,197,6,268,14,13,244,9,13,15,2,3,0,1,0,0,0,1,,,,0,42,887,2869
20,OAXACA,396,SANTA MAGDALENA JICOTLAN,1,1,1,4,0,0,5,1,37,0,1,2,0,0,0,0,1,0,0,0,,,,0,1,53,73
20,OAXACA,397,SANTA MARIA ALOTEPEC,2,5,16,216,20,6,260,9,271,20,16,7,6,3,0,2,1,0,0,5,,,,0,38,896,2052
20,OAXACA,398,SANTA MARIA APAZCO,2,3,13,69,64,23,61,18,167,13,15,11,0,0,0,0,0,0,0,0,,,,0,34,488,1257
20,OAXACA,399,SANTA MARIA LA ASUNCION,2,5,209,431,28,15,87,18,303,22,63,29,3,26,1,6,0,0,0,0,,,,0,90,1331,2115
20,OAXACA,400,SANTA MARIA ATZOMPA,10,40,342,1713,112,129,493,211,5221,354,169,228,69,20,2,3,43,7,7,81,,,,5,336,9545,25664
20,OAXACA,401,SANTA MARIA CAMOTLAN,2,2,16,145,10,8,7,15,214,9,4,4,0,3,0,0,0,0,0,1,,,,0,12,448,1378
20,OAXACA,402,SANTA MARIA CHACHOAPAM,1,2,10,21,6,4,38,5,141,8,4,2,0,0,0,0,2,1,2,4,,,,2,9,259,626
20,OAXACA,403,VILLA DE CHILAPA DE DIAZ,3,4,35,59,19,23,30,13,412,22,4,11,1,1,1,1,2,0,2,7,,,,1,20,664,1486
20,OAXACA,404,SANTA MARIA CHILCHOTLA,17,35,319,3172,786,116,261,112,2766,133,191,166,76,28,8,39,0,0,0,0,,,,0,332,8505,14918
20,OAXACA,405,SANTA MARIA CHIMALAPA,6,13,46,990,36,26,32,36,1658,57,49,17,9,6,3,2,3,0,3,5,,,,0,117,3095,5249
